trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2019-01-28 21:29:32,38199021865320,"fraud_Hettinger, McCullough and Fay",home,78.4,Jesse,Roberts,M,8415 Vaughn Squares Apt. 788,Acworth,NH,3601,43.196000000000005,-72.3001,477.0,Naval architect,1988-04-15,69ad404674fa3b96962202761d40528e,1327786172.0,42.381865000000005,-71.891386,0.0
2019-06-01 17:35:00,4584931703207308232,"fraud_Pouros, Walker and Spencer",kids_pets,36.42,Amanda,Gomez,F,8152 Brittany Centers,Dallas,TX,75218,32.8463,-96.6972,1263321.0,"Designer, ceramics/pottery",1975-04-16,e9da08b47fea4fff75d0fe38ed174952,1338572100.0,33.588762,-96.145717,0.0
2019-01-28 23:31:49,2256234701263057,fraud_Bins-Howell,personal_care,3.68,Christopher,Grimes,M,39631 Dunn Radial,Grantham,NH,3753,43.5103,-72.1334,2971.0,Charity fundraiser,1948-04-11,55760ccabdd386e727c6d7e9540846b8,1327793509.0,43.976169,-72.40593199999999,0.0
2019-04-01 12:25:44,4826655832045236,fraud_Kub-Heaney,health_fitness,26.17,Tami,Forbes,F,5204 Robinson Plaza Suite 897,Barnstable,MA,2630,41.6983,-70.3001,1850.0,Counselling psychologist,1963-12-29,6ba28f6f9607750a71db9b6d22aaf752,1333283144.0,40.965517,-70.729552,0.0
2019-07-12 10:21:37,3566875419572867,fraud_Barton Inc,grocery_pos,110.07,Adam,Mcdonald,M,997 Cameron Meadow Apt. 980,South Hero,VT,5486,44.64,-73.3113,1654.0,Transport planner,1991-01-31,7f69770375495bd1d55ff87700fadd6b,1342088497.0,45.114037,-73.345798,0.0
2019-03-18 08:29:27,571465035400,fraud_Roberts-Beahan,misc_pos,41.56,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645.0,Freight forwarder,1976-02-26,99d1630c1fef403a0c4f37488304011e,1332059367.0,43.303154,-109.657129,0.0
2019-03-14 18:38:53,4292743669224718067,fraud_Waelchi-Wolf,kids_pets,32.5,Michael,Williams,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927.0,Art therapist,1973-06-09,5af58867c3fd0d0bc0ad79f03df9ac07,1331750333.0,38.909697,-77.12977099999999,0.0
2019-05-01 10:30:14,3597980945245815,fraud_Dicki Ltd,grocery_net,95.84,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253.0,"Scientist, biomedical",1957-04-25,8ea6a8242db3ffc3a3a05780563a8a88,1335868214.0,34.316866,-94.823139,0.0
2019-06-28 09:40:03,2720894374956739,fraud_Kutch-Hegmann,grocery_net,76.07,Audrey,Hickman,F,3325 Gregory Square,Mount Clemens,MI,48043,42.5978,-82.8823,16305.0,"Psychologist, sport and exercise",1927-05-25,d9f42244d0b3c566da6fe3d9074288c4,1340876403.0,42.076655,-82.531385,0.0
2019-06-10 21:46:56,4147608975828480,fraud_Dickinson Ltd,personal_care,42.82,Edward,Tapia,M,354 Gutierrez Gateway,Comfrey,MN,56019,44.1111,-94.9134,914.0,Health and safety adviser,1944-07-26,64527367f45aa8e70a4153cfffa99420,1339364816.0,44.706417,-95.740193,0.0
2019-07-10 05:12:48,4502539526809429801,fraud_Beier-Hyatt,shopping_pos,9.02,Stephanie,Cummings,F,1025 Robin Square,Ash Flat,AR,72513,36.2201,-91.6421,2856.0,Hydrologist,1926-08-27,f827c8cf9e4d48095ea30e68dd6de9ab,1341897168.0,36.951536,-91.690504,0.0
2019-04-19 23:24:06,180014262259255,fraud_Kertzmann LLC,health_fitness,24.38,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566.0,Exercise physiologist,1958-06-26,6729fb89dc25cd2beca5adbdf5c7ebb4,1334877846.0,30.796488,-86.790319,0.0
2019-06-28 04:16:36,3540075240003197,"fraud_Kutch, Hermiston and Farrell",gas_transport,68.52,Christian,Johns,M,892 Solis Neck,Lonsdale,MN,55046,44.4477,-93.4252,5211.0,Chief Strategy Officer,1987-01-27,ce1bd4e94d6bd05cf926de4cc46f9569,1340856996.0,45.416023,-93.249977,0.0
